0	1.99286e-035	831	1	23.2307	794	1	46.7885	721	1	0.00599974	707	1	0	777	1
0.05	2.0846e-035	822	1	23.3096	796	1	42.7938	428	1	0.00270781	600	1	0.00728986	1092	1
0.1	2.80322e-034	888	1	22.863	703	1	50.7556	891	1	0.00424704	587	1	0.00739604	837	1
0.15	1.90906e-035	878	1	25.4074	907	1	38.8778	522	1	0.00499385	839	1	0	926	1
0.2	2.6686e-032	922	1	23.2657	967	1	47.0909	739	1	0.00553658	870	1	0.00985728	1003	1
0.25	2.93142e-032	852	1	69.3607	878	1	27.861	513	1	0.00595762	879	1	0	973	1
0.3	1.20345e-030	979	1	30.0938	1074	1	42.9023	806	1	0.00706979	1123	1	0	924	1
0.35	2.2871e-032	987	1	25.308	981	1	34.8286	628	1	0.00261768	704	1	0.00761817	1374	1
0.4	2.55913e-032	995	1	23.4375	834	1	53.7487	580	1	0.00698224	802	1	0	919	1
0.45	9.8415e-032	928	1	24.6156	976	1	71.3094	2998	1	0.0143222	1814	1	0	1112	1
0.5	3.50694e-032	932	1	23.9738	1170	1	52.637	2339	1	0.00599245	521	1	0	966	1
0.55	2.86853e-028	1059	1	78.2347	1273	1	59.085	974	1	0.00628515	1216	1	0.00739604	906	1
0.6	3.06927e-026	1070	1	24.2565	838	1	59.7004	695	1	0.0122799	1361	1	0	1193	1
0.65	1.04314e-027	1083	1	77.6716	2237	1	60.6926	935	1	0.0154	1161	1	2.57047e-005	2743	1
0.7	2.75463e-025	1183	1	78.9119	1284	1	66.7402	1049	1	0.00448765	1338	1	4.43806e-007	1504	1
0.75	6.13727e-027	1125	1	25.9011	1148	1	62.6823	387	1	0.00491682	1153	1	0.0192087	4288	1
0.8	2.13244e-025	1077	1	-1.#IND	-1.#IND	0	-1.#IND	-1.#IND	0	0.0264179	1855	1	0.00739604	907	1
0.85	4.21702e-008	1944	1	76.1837	4812	1	49.7067	862	1	0.0122943	991	1	0	1032	1
0.9	2.69991e-025	1330	1	24.9859	1168	1	63.7052	1301	1	0.00645587	1732	1	0.012321	1155	1
0.95	9.87932e-027	1026	1	65.3818	1868	1	41.1576	779	1	0.00677769	1160	1	0.0393874	1748	1
1	8.15251e-024	1212	1	28.2835	1216	1	39.8261	647	1	0.0193574	1960	1	0	1383	1
