20	0	0.875087
20	0.05	0.835303
20	0.1	0.794269
20	0.15	0.808798
20	0.2	0.889806
20	0.25	0.878181
20	0.3	0.844556
20	0.35	0.891178
20	0.4	0.799895
20	0.45	0.886725
20	0.5	0.870953
20	0.55	0.886825
20	0.6	0.923508
20	0.65	0.84065
20	0.7	0.790569
20	0.75	0.893041
20	0.8	0.89897
20	0.85	0.905902
20	0.9	0.925619
20	0.95	0.928783
20	1	0.925394
30	0	0.713883
30	0.05	0.818752
30	0.1	0.761331
30	0.15	0.760205
30	0.2	0.727627
30	0.25	0.827916
30	0.3	0.793222
30	0.35	0.839853
30	0.4	0.772241
30	0.45	0.845362
30	0.5	0.855395
30	0.55	0.83155
30	0.6	0.836894
30	0.65	0.833444
30	0.7	0.814828
30	0.75	0.91562
30	0.8	0.914037
30	0.85	0.90628
30	0.9	0.90768
30	0.95	0.919594
30	1	0.924116
40	0	0.480634
40	0.05	0.660383
40	0.1	0.571261
40	0.15	0.745905
40	0.2	0.632427
40	0.25	0.766391
40	0.3	0.657667
40	0.35	0.745677
40	0.4	0.78685
40	0.45	0.697706
40	0.5	0.806608
40	0.55	0.87105
40	0.6	0.882225
40	0.65	0.858752
40	0.7	0.823744
40	0.75	0.89845
40	0.8	0.899744
40	0.85	0.917388
40	0.9	0.897664
40	0.95	0.918958
40	1	0.918286
50	0	0.457122
50	0.05	0.629922
50	0.1	0.490966
50	0.15	0.734594
50	0.2	0.78532
50	0.25	0.761916
50	0.3	0.836064
50	0.35	0.738436
50	0.4	0.8389
50	0.45	0.624
50	0.5	0.707706
50	0.55	0.734706
50	0.6	0.788233
50	0.65	0.783906
50	0.7	0.878672
50	0.75	0.821986
50	0.8	0.83365
50	0.85	0.880647
50	0.9	0.90865
50	0.95	0.915244
50	1	0.920031
60	0	0.415719
60	0.05	0.398766
60	0.1	0.401145
60	0.15	0.5431
60	0.2	0.717906
60	0.25	0.620709
60	0.3	0.493945
60	0.35	0.549444
60	0.4	0.592384
60	0.45	0.832369
60	0.5	0.817323
60	0.55	0.848953
60	0.6	0.809587
60	0.65	0.8712
60	0.7	0.768823
60	0.75	0.898516
60	0.8	0.898975
60	0.85	0.874494
60	0.9	0.858802
60	0.95	0.892606
60	1	0.919708
70	0	0.351675
70	0.05	0.36953
70	0.1	0.37927
70	0.15	0.307089
70	0.2	0.328317
70	0.25	0.528117
70	0.3	0.495156
70	0.35	0.614506
70	0.4	0.7153
70	0.45	0.650866
70	0.5	0.485475
70	0.55	0.776584
70	0.6	0.764747
70	0.65	0.797019
70	0.7	0.836958
70	0.75	0.877486
70	0.8	0.877336
70	0.85	0.838662
70	0.9	0.909447
70	0.95	0.901831
70	1	0.911681
